roast,tds_percent,pe_percent,attribute,attribute_key,mean_intensity,n_or_se_if_given,lsd_group,fisher_lsd_main_effect,varied_factor,significant_interaction,source_table
all,1.00,all,Brown Spice Aroma,brown_spice_aroma,17.5,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.25,all,Brown Spice Aroma,brown_spice_aroma,18.1,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Brown Spice Aroma,brown_spice_aroma,16.9,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Brown Spice Aroma,brown_spice_aroma,17.1,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Brown Spice Aroma,brown_spice_aroma,16.8,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Brown Spice Aroma,brown_spice_aroma,18.5,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Brown Spice Flavor,brown_spice_flavor,12.5,,b,1.03,roast,,Frost2020_SI Supplemental B
Medium,all,all,Brown Spice Flavor,brown_spice_flavor,13.2,,b,1.03,roast,,Frost2020_SI Supplemental B
Dark,all,all,Brown Spice Flavor,brown_spice_flavor,14.4,,a,1.03,roast,,Frost2020_SI Supplemental B
all,1.00,all,Brown Spice Flavor,brown_spice_flavor,13.3,,,1.03,tds,,Frost2020_SI Supplemental B
all,1.25,all,Brown Spice Flavor,brown_spice_flavor,13.7,,,1.03,tds,,Frost2020_SI Supplemental B
all,1.50,all,Brown Spice Flavor,brown_spice_flavor,13.2,,,1.03,tds,,Frost2020_SI Supplemental B
all,all,16,Brown Spice Flavor,brown_spice_flavor,12.6,,,1.03,pe,,Frost2020_SI Supplemental B
all,all,20,Brown Spice Flavor,brown_spice_flavor,13.1,,,1.03,pe,,Frost2020_SI Supplemental B
all,all,24,Brown Spice Flavor,brown_spice_flavor,14.4,,,1.03,pe,,Frost2020_SI Supplemental B
Light,all,all,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,22.8,,c,1.95,roast,,Frost2020_SI Supplemental B
Medium,all,all,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,28.9,,b,1.95,roast,,Frost2020_SI Supplemental B
Dark,all,all,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,32.7,,a,1.95,roast,,Frost2020_SI Supplemental B
all,1.00,all,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,25.1,,c,1.95,tds,,Frost2020_SI Supplemental B
all,1.25,all,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,28.2,,b,1.95,tds,,Frost2020_SI Supplemental B
all,1.50,all,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,31.1,,a,1.95,tds,,Frost2020_SI Supplemental B
all,all,16,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,24.8,,b,1.95,pe,,Frost2020_SI Supplemental B
all,all,20,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,29.2,,a,1.95,pe,,Frost2020_SI Supplemental B
all,all,24,Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,30.4,,a,1.95,pe,,Frost2020_SI Supplemental B
Light,all,all,Cereal Malt Flavor,cereal_malt_flavor,18.7,,,n.s.,roast,,Frost2020_SI Supplemental B
Medium,all,all,Cereal Malt Flavor,cereal_malt_flavor,19.4,,,n.s.,roast,,Frost2020_SI Supplemental B
Dark,all,all,Cereal Malt Flavor,cereal_malt_flavor,17.9,,,n.s.,roast,,Frost2020_SI Supplemental B
all,1.00,all,Cereal Malt Flavor,cereal_malt_flavor,19.5,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.25,all,Cereal Malt Flavor,cereal_malt_flavor,18.6,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Cereal Malt Flavor,cereal_malt_flavor,18.0,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Cereal Malt Flavor,cereal_malt_flavor,18.4,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Cereal Malt Flavor,cereal_malt_flavor,18.9,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Cereal Malt Flavor,cereal_malt_flavor,18.8,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Citrus Flavor,citrus_flavor,21.9,,a,1.97,roast,,Frost2020_SI Supplemental B
Medium,all,all,Citrus Flavor,citrus_flavor,17.6,,b,1.97,roast,,Frost2020_SI Supplemental B
Dark,all,all,Citrus Flavor,citrus_flavor,15.3,,c,1.97,roast,,Frost2020_SI Supplemental B
all,1.00,all,Citrus Flavor,citrus_flavor,15.0,,b,1.97,tds,,Frost2020_SI Supplemental B
all,1.25,all,Citrus Flavor,citrus_flavor,19.1,,b,1.97,tds,,Frost2020_SI Supplemental B
all,1.50,all,Citrus Flavor,citrus_flavor,20.7,,a,1.97,tds,,Frost2020_SI Supplemental B
all,all,16,Citrus Flavor,citrus_flavor,21.0,,a,1.97,pe,,Frost2020_SI Supplemental B
all,all,20,Citrus Flavor,citrus_flavor,18.1,,b,1.97,pe,,Frost2020_SI Supplemental B
all,all,24,Citrus Flavor,citrus_flavor,15.7,,c,1.97,pe,,Frost2020_SI Supplemental B
Light,all,all,Cocoa Aroma,cocoa_aroma,25.0,,,n.s.,roast,,Frost2020_SI Supplemental B
Medium,all,all,Cocoa Aroma,cocoa_aroma,24.3,,,n.s.,roast,,Frost2020_SI Supplemental B
Dark,all,all,Cocoa Aroma,cocoa_aroma,22.7,,,n.s.,roast,,Frost2020_SI Supplemental B
all,1.00,all,Cocoa Aroma,cocoa_aroma,24.1,,,n.s.,tds,,Frost2020_SI Supplemental B
