roast,tds_percent,pe_percent,attribute,attribute_key,mean_intensity,n_or_se_if_given,lsd_group,fisher_lsd_main_effect,varied_factor,significant_interaction,source_table
all,1.50,all,Sourness,sourness,37.2,,,1.71,tds,roast_x_tds,Frost2020_SI Supplemental B
all,all,16,Sourness,sourness,35.1,,a,1.71,pe,roast_x_tds,Frost2020_SI Supplemental B
all,all,20,Sourness,sourness,32.9,,b,1.71,pe,roast_x_tds,Frost2020_SI Supplemental B
all,all,24,Sourness,sourness,28.5,,c,1.71,pe,roast_x_tds,Frost2020_SI Supplemental B
Light,all,all,Sweetness,sweetness,27.8,,a,1.54,roast,,Frost2020_SI Supplemental B
Medium,all,all,Sweetness,sweetness,25.7,,b,1.54,roast,,Frost2020_SI Supplemental B
Dark,all,all,Sweetness,sweetness,23.6,,c,1.54,roast,,Frost2020_SI Supplemental B
all,1.00,all,Sweetness,sweetness,28.1,,a,1.54,tds,,Frost2020_SI Supplemental B
all,1.25,all,Sweetness,sweetness,25.3,,b,1.54,tds,,Frost2020_SI Supplemental B
all,1.50,all,Sweetness,sweetness,23.8,,b,1.54,tds,,Frost2020_SI Supplemental B
all,all,16,Sweetness,sweetness,26.9,,a,1.54,pe,,Frost2020_SI Supplemental B
all,all,20,Sweetness,sweetness,25.2,,b,1.54,pe,,Frost2020_SI Supplemental B
all,all,24,Sweetness,sweetness,25.0,,b,1.54,pe,,Frost2020_SI Supplemental B
Light,all,all,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,26.4,,a,1.50,roast,,Frost2020_SI Supplemental B
Medium,all,all,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,24.9,,a,1.50,roast,,Frost2020_SI Supplemental B
Dark,all,all,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,22.0,,b,1.50,roast,,Frost2020_SI Supplemental B
all,1.00,all,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,24.9,,,1.50,tds,,Frost2020_SI Supplemental B
all,1.25,all,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,24.7,,,1.50,tds,,Frost2020_SI Supplemental B
all,1.50,all,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,23.7,,,1.50,tds,,Frost2020_SI Supplemental B
all,all,16,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,26.5,,a,1.50,pe,,Frost2020_SI Supplemental B
all,all,20,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,23.3,,b,1.50,pe,,Frost2020_SI Supplemental B
all,all,24,Sweet Brown Roast Flavor,sweet_brown_roast_flavor,23.6,,b,1.50,pe,,Frost2020_SI Supplemental B
Light,all,all,Thickness,thickness,39.3,,c,2.08,roast,,Frost2020_SI Supplemental B
Medium,all,all,Thickness,thickness,43.5,,b,2.08,roast,,Frost2020_SI Supplemental B
Dark,all,all,Thickness,thickness,48.3,,a,2.08,roast,,Frost2020_SI Supplemental B
all,1.00,all,Thickness,thickness,40.3,,c,2.08,tds,,Frost2020_SI Supplemental B
all,1.25,all,Thickness,thickness,44.2,,b,2.08,tds,,Frost2020_SI Supplemental B
all,1.50,all,Thickness,thickness,46.7,,a,2.08,tds,,Frost2020_SI Supplemental B
all,all,16,Thickness,thickness,40.8,,b,2.08,pe,,Frost2020_SI Supplemental B
all,all,20,Thickness,thickness,44.8,,a,2.08,pe,,Frost2020_SI Supplemental B
all,all,24,Thickness,thickness,45.5,,a,2.08,pe,,Frost2020_SI Supplemental B
Light,all,all,Tobacco Flavor,tobacco_flavor,19.2,,b,1.53,roast,,Frost2020_SI Supplemental B
Medium,all,all,Tobacco Flavor,tobacco_flavor,21.3,,a,1.53,roast,,Frost2020_SI Supplemental B
Dark,all,all,Tobacco Flavor,tobacco_flavor,20.8,,a,1.53,roast,,Frost2020_SI Supplemental B
all,1.00,all,Tobacco Flavor,tobacco_flavor,19.6,,,1.53,tds,,Frost2020_SI Supplemental B
all,1.25,all,Tobacco Flavor,tobacco_flavor,20.3,,,1.53,tds,,Frost2020_SI Supplemental B
all,1.50,all,Tobacco Flavor,tobacco_flavor,21.4,,,1.53,tds,,Frost2020_SI Supplemental B
all,all,16,Tobacco Flavor,tobacco_flavor,20.6,,,1.53,pe,,Frost2020_SI Supplemental B
all,all,20,Tobacco Flavor,tobacco_flavor,20.4,,,1.53,pe,,Frost2020_SI Supplemental B
all,all,24,Tobacco Flavor,tobacco_flavor,20.3,,,1.53,pe,,Frost2020_SI Supplemental B
Light,all,all,Woody Flavor,woody_flavor,21.4,,c,1.66,roast,,Frost2020_SI Supplemental B
Medium,all,all,Woody Flavor,woody_flavor,24.7,,b,1.66,roast,,Frost2020_SI Supplemental B
Dark,all,all,Woody Flavor,woody_flavor,26.8,,a,1.66,roast,,Frost2020_SI Supplemental B
all,1.00,all,Woody Flavor,woody_flavor,23.8,,,1.66,tds,,Frost2020_SI Supplemental B
all,1.25,all,Woody Flavor,woody_flavor,23.6,,,1.66,tds,,Frost2020_SI Supplemental B
all,1.50,all,Woody Flavor,woody_flavor,25.5,,,1.66,tds,,Frost2020_SI Supplemental B
all,all,16,Woody Flavor,woody_flavor,24.1,,,1.66,pe,,Frost2020_SI Supplemental B
all,all,20,Woody Flavor,woody_flavor,24.0,,,1.66,pe,,Frost2020_SI Supplemental B
all,all,24,Woody Flavor,woody_flavor,24.9,,,1.66,pe,,Frost2020_SI Supplemental B
