roast,alkalinity_mgl,acid_neutralised_meq_vs_ref,sourness_change_points,tds_delta_percent_chemistry,tds_delta_percent_sensory,dose_change_percent_chemistry,dose_change_percent_sensory,bitterness_side_effect_tds_route,pe_delta_percent,bitterness_side_effect_pe_route,dilution_share_zero_alkalinity_water
light,20,-0.38501830778488627,1.3899160911034394,-0.03678948743375132,-0.06494935005156259,-2.943158994700106,-5.1959480041250075,-0.8976634933835328,1.6847467770950786,0.1684746777095043,0.0
light,40,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
light,80,0.7700366155697725,-2.7798321822068788,0.07357897486750264,0.12989870010312518,5.886317989400212,10.391896008250015,1.61873744708506,-3.369493554190157,-3.8749175873186807,0.5
light,120,1.540073231139545,-5.5596643644137576,0.1471579497350053,0.25979740020625036,11.772635978800423,20.78379201650003,3.23747489417012,-6.738987108380314,-7.7498351746373615,0.6666666666666667
light,150,2.1176006928168745,-7.644538501068917,0.2023421808856323,0.3572214252835943,16.187374470850585,28.577714022687545,4.451527979483913,-9.266107274022932,-10.656023365126376,0.7333333333333334
light,200,3.08014646227909,-11.119328728827515,0.2943158994700106,0.5195948004125007,23.545271957600846,41.56758403300006,6.474949788340233,-13.477974216760629,-15.49967034927473,0.8
light,250,4.042692231741306,-14.594118956586113,0.38628961805438894,0.6819681755414072,30.903169444351114,54.55745404331258,8.498371597196552,-17.689841159498325,-20.34331733342308,0.84
light,300,5.005238001203521,-18.06890918434471,0.4782633366387672,0.8443415506703137,38.261066931101375,67.54732405362509,10.521793406052879,-21.90170810223602,-25.186964317571434,0.8666666666666667
medium,20,-0.38218698010283797,1.379694998171245,-0.03988682244869542,-0.06447172888650678,-3.190945795895634,-5.157738310920542,-0.9732384677481676,1.6723575735409035,0.16723575735409213,0.0
medium,40,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
medium,80,0.7643739602056759,-2.75938999634249,0.07977364489739085,0.12894345777301355,6.381891591791268,10.315476621841084,1.755020187742602,-3.344715147081807,-3.8464224191440763,0.5
medium,120,1.5287479204113519,-5.51877999268498,0.1595472897947817,0.2578869155460271,12.763783183582536,20.630953243682168,3.5100403754851968,-6.689430294163614,-7.69284483828816,0.6666666666666667
medium,150,2.102028390565609,-7.588322489941848,0.21937752346782485,0.3545945088757873,17.550201877425987,28.367560710062982,4.826305516292145,-9.19796665447497,-10.577661652646217,0.7333333333333334
medium,200,3.0574958408227038,-11.03755998536996,0.3190945795895634,0.5157738310920542,25.527566367165072,41.261906487364335,7.0200807509703935,-13.378860588327228,-15.38568967657632,0.8
medium,250,4.0129632910797985,-14.486797480798073,0.418811635711302,0.6769531533083212,33.50493085690416,54.156252264665696,9.213855985648642,-17.55975452217949,-20.19371770050642,0.84
medium,300,4.968430741336894,-17.936034976226185,0.5185286918330405,0.8381324755245881,41.48229534664324,67.05059804196705,11.407631220326891,-21.740648456031746,-25.001745724436514,0.8666666666666667
dark,20,-0.37644489171501944,1.35896605909122,-0.04529822819742201,-0.0635030868734215,-3.623858255793761,-5.08024694987372,-1.1052767680170916,1.647231586777237,0.1647231586777238,0.0
dark,40,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
dark,80,0.7528897834300389,-2.71793211818244,0.09059645639484402,0.127006173746843,7.247716511587522,10.16049389974744,1.993122040686572,-3.294463173554474,-3.7886326495876474,0.5
dark,120,1.5057795668600777,-5.43586423636488,0.18119291278968805,0.254012347493686,14.495433023175044,20.32098779949488,3.986244081373137,-6.588926347108948,-7.577265299175295,0.6666666666666667
dark,150,2.0704469044326066,-7.4743133250017095,0.24914025508582102,0.3492669778038182,19.931220406865684,27.941358224305457,5.481085611888062,-9.059773727274802,-10.418739786366025,0.7333333333333334
dark,200,3.0115591337201555,-10.87172847272976,0.3623858255793761,0.508024694987372,28.99086604635009,40.64197559898976,7.972488162746274,-13.177852694217895,-15.154530598350583,0.8
dark,250,3.952671363007704,-14.269143620457811,0.4756313960729311,0.6667824121709258,38.050511685834486,53.342592973674066,10.463890713604485,-17.29593166116099,-19.890321410335144,0.84
dark,300,4.893783592295253,-17.666558768185862,0.5888769665664861,0.8255401293544796,47.110157325318895,66.04321034835837,12.955293264462696,-21.41401062810408,-24.6261122223197,0.8666666666666667
