band,name,localities,population_share,population_share_measured_only,alkalinity_median,alkalinity_p10,alkalinity_p90,hardness_median,share_softened,share_imputed_alkalinity,population_share_by_country_within_band,share_of_each_country_in_this_band,examples_by_population
1,very low alkalinity (0 to 40),2312,0.20171606367677591,0.18102588230800834,29.610727027350297,13.870503527099443,34.69729671343547,33.7,0.0,0.7292387543252595,"{'BR': 0.191, 'GB': 0.0, 'US': 0.809}","{'BR': 0.4, 'GB': 0.012, 'US': 0.182}",RIO DE JANEIRO (BR); BELO HORIZONTE (BR); MANAUS (BR); Takoma Park (US); Alameda (US)
2,low alkalinity (40 to 80),3331,0.4748842820936664,0.472859176840319,64.0,47.62804325076773,70.16873811528613,102.0,0.0007446183027935729,0.6817772440708496,"{'BR': 0.089, 'GB': 0.001, 'US': 0.91}","{'BR': 0.437, 'GB': 0.131, 'US': 0.481}",SAO PAULO (BR); Lomita (US); Florence-Graham (US); Beverly Hills (US); Burbank (US)
3,moderate alkalinity (80 to 150),3795,0.21969305188416105,0.22180822985783613,108.37049509235764,84.88060443926352,138.85548326431632,107.7,0.002594140311547639,0.7193675889328063,"{'BR': 0.06, 'GB': 0.005, 'US': 0.935}","{'BR': 0.137, 'GB': 0.21, 'US': 0.229}",Chicago (US); Houston (US); Peoria (US); Glendale (US); Guadalupe (US)
4,high alkalinity (150 to 250),3404,0.09571159611550048,0.11230619369614309,213.0,159.51882155946677,214.28624819938025,180.0,0.00348719385421672,0.4480023501762632,"{'BR': 0.027, 'GB': 0.026, 'US': 0.948}","{'BR': 0.026, 'GB': 0.499, 'US': 0.101}",Olmos Park (US); Timberwood Park (US); Hollywood Park (US); Hill Country Village (US); Alamo Heights (US)
5,very high alkalinity (over 250),1114,0.00799500622989616,0.012000517297693454,280.0,256.6880005032107,354.0,309.6389982687021,0.0645430918566868,0.07719928186714542,"{'BR': 0.003, 'GB': 0.092, 'US': 0.905}","{'BR': 0.0, 'GB': 0.148, 'US': 0.008}",Madison (US); Sunnyland (US); Joliet (US); Preston Heights (US); Ridgewood (US)
